;Event_time                     ;Object_of_reference                                                                                                                                                                                                                                            
;            Oct 12 2016  9:12PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=USA663,ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=2                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 12 2016  9:12PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=USA663,ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=1                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 12 2016  9:12PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=USA663,ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=1                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 12 2016  9:12PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=USA663,ManagedElement=1,Equipment=1,SectorAntenna=2-1,AuxPlugInUnit=RRUW-1,RruDeviceGroup=1,TpaDeviceSet=1,TpaDevice=1                                                                                     
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            May 25 2016 10:45AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UZM864,ManagedElement=1,Equipment=1,HwUnit=SUP-1,AlarmPort=1                                                                                                                                               
	 ;"UZM864 MACRO ESTACION SAN PABLO ALARMA PUERTA ABIERTA"                                                                                                                                                                                                        
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Jun 24 2016 12:15AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=URS279,ManagedElement=1,Equipment=1,HwUnit=SUP-1,AlarmPort=8                                                                                                                                               
	 ;URS279 - CACE EL GOLF APOQUINDO FALLA DE RECTIFICADOR DC                                                                                                                                                                                                       
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 14 2016  5:38AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER08,MeContext=UGA656,ManagedElement=1,Equipment=1,Cabinet=1,FanGroup=4                                                                                                                                                   
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:02AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=11,AuxPlugInUnit=RUW-1,DeviceGroup=RUW                                                                                                            
	 ;UST332                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:02AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=3,AuxPlugInUnit=RUW-1,DeviceGroup=RUW                                                                                                             
	 ;UST332                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:02AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=3,AuxPlugInUnit=RUW-1,DeviceGroup=RUW                                                                                                             
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:02AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=7,AuxPlugInUnit=RUW-1,DeviceGroup=RUW                                                                                                             
	 ;UST332                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:02AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=7,AuxPlugInUnit=RUW-1,DeviceGroup=RUW                                                                                                             
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:03AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=9,AuxPlugInUnit=RUW-2,DeviceGroup=RUW                                                                                                             
	 ;UST332                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:03AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=5,AuxPlugInUnit=RUW-2,DeviceGroup=RUW                                                                                                             
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:03AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=9,AuxPlugInUnit=RUW-2,DeviceGroup=RUW                                                                                                             
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:03AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=5,AuxPlugInUnit=RUW-2,DeviceGroup=RUW                                                                                                             
	 ;UST332                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:03AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=13,AuxPlugInUnit=RUW-2,DeviceGroup=RUW                                                                                                            
	 ;UST332                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:03AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=13,AuxPlugInUnit=RUW-2,DeviceGroup=RUW                                                                                                            
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:02AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=UST332,ManagedElement=1,Equipment=1,RbsSubrack=1,RbsSlot=11,AuxPlugInUnit=RUW-1,DeviceGroup=RUW                                                                                                            
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:20AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER01,MeContext=UAM213,ManagedElement=1,Equipment=1,Subrack=1,Slot=2,PlugInUnit=1,PiuDevice=3,RaxDeviceGroup=1                                                                                                             
	 ;UAM213                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:20AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER01,MeContext=UAM213,ManagedElement=1,Equipment=1,Subrack=1,Slot=2,PlugInUnit=1,PiuDevice=3,RaxDeviceGroup=1                                                                                                             
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:23AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER01,MeContext=UAM213,ManagedElement=1,Equipment=1,Subrack=1,Slot=2,PlugInUnit=1,PiuDevice=3,RaxDeviceGroup=1                                                                                                             
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Sep 17 2016  5:13PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER07,MeContext=URS256,ManagedElement=1,Equipment=1,SectorAntenna=2,AuxPlugInUnit=RRUW-1,RruDeviceGroup=1                                                                                                                  
	 ;NULL                                                                                                                                                                                                                                                           
	 ;RruDeviceGroup_RetPortCurrentTooHigh                                                                                                                                                                                                                           ;
;            Sep 17 2016  5:13PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER07,MeContext=URS256,ManagedElement=1,Equipment=1,SectorAntenna=1,AntennaBranch=A                                                                                                                                        
	 ;Antenna feeder current too high in branch A                                                                                                                                                                                                                    
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Sep 17 2016  5:13PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER07,MeContext=URS256,ManagedElement=1,Equipment=1,SectorAntenna=2,AntennaBranch=A                                                                                                                                        
	 ;Antenna feeder current too high in branch A                                                                                                                                                                                                                    
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Sep 17 2016  5:13PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER07,MeContext=URS256,ManagedElement=1,Equipment=1,SectorAntenna=1,AuxPlugInUnit=RRUW-1,RruDeviceGroup=1                                                                                                                  
	 ;NULL                                                                                                                                                                                                                                                           
	 ;RruDeviceGroup_RetPortCurrentTooHigh                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:50AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,Equipment=1,SectorAntenna=1-1,AuxPlugInUnit=RRUW-1,RruDeviceGroup=1                                                                                                                
	 ;UZZ422                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 10:50AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,Equipment=1,SectorAntenna=1-1,AuxPlugInUnit=RRUW-1,RruDeviceGroup=1                                                                                                                
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Sep  9 2016 11:24PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER04,MeContext=UAM422,ManagedElement=1,Equipment=1,SectorAntenna=1-1,AuxPlugInUnit=2                                                                                                                                      
	 ;ARETU                                                                                                                                                                                                                                                          
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 20 2016  2:25PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER04,MeContext=UGA176,ManagedElement=1,Equipment=1,Cabinet=1,FanGroup=3                                                                                                                                                   
	 ;1 of 1 fans disconnected.                                                                                                                                                                                                                                      
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 20 2016  2:25PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER04,MeContext=UGA176,ManagedElement=1,Equipment=1,Cabinet=1,FanGroup=4                                                                                                                                                   
	 ;1 of 1 fans disconnected.                                                                                                                                                                                                                                      
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:30AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER05,MeContext=URM946,ManagedElement=1,Equipment=1,Subrack=1,Slot=2,PlugInUnit=1,PiuDevice=2,TxDeviceGroup=1                                                                                                              
	 ;URM946                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:30AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=URM496                                                                                                                                                                                                     
	 ;Read timed out                                                                                                                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:30AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER05,MeContext=URM946,ManagedElement=1,Equipment=1,Subrack=1,Slot=2,PlugInUnit=1,PiuDevice=2,TxDeviceGroup=1                                                                                                              
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:01AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,Equipment=1,Subrack=1,Slot=1,PlugInUnit=1,PiuDevice=1,DeviceGroup=DUI                                                                                                              
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:01AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,Equipment=1,Subrack=1,Slot=1,PlugInUnit=1,PiuDevice=1,DeviceGroup=DUI                                                                                                              
	 ;DUW3001 connector RI_B. SfpVendorName=                ,SfpProductNumber=                ,SfpProductRevision=                                                                                                                                                   
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:01AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,SystemFunctions=1,Licensing=1                                                                                                                                                      
	 ;No license key file installed.                                                                                                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:01AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=1                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:01AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=1                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:01AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=2                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:01AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=2                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:01AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=2                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:01AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=1                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:06AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,Equipment=1,SectorAntenna=1-1,AuxPlugInUnit=RRUW-1                                                                                                                                 
	 ;UZZ422                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:02AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER03,MeContext=UZM394,ManagedElement=1,Equipment=1,Cabinet=1,FanGroup=1                                                                                                                                                   
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:06AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,Equipment=1,SectorAntenna=1-1,AuxPlugInUnit=RRUW-1                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:05AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,NodeBFunction=1                                                                                                                                                                    
	 ;UZZ422                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:05AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422,ManagedElement=1,NodeBFunction=1                                                                                                                                                                    
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016 11:05AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER06,MeContext=UZZ422                                                                                                                                                                                                     
