;Event_time                     ;Object_of_reference                                                                                                                                                                                                                                            
	 ;Problem_text                                                                                                                                                                                                                                                   
	 ;SP_text                                                                                                                                                                                                                                                        ;
;-------------------------------;---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;
;            Oct 12 2016  5:01PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER01,MeContext=UGE492,ManagedElement=1,Equipment=1,SectorAntenna=4-1,AntennaBranch=B                                                                                                                                      
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 12 2016  5:01PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER01,MeContext=UGE492,ManagedElement=1,Equipment=1,SectorAntenna=5-1,AntennaBranch=B                                                                                                                                      
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 12 2016  5:01PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER01,MeContext=UGE492,ManagedElement=1,Equipment=1,SectorAntenna=6-1,AntennaBranch=B                                                                                                                                      
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct 26 2016  8:03AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER05,MeContext=UST004,ManagedElement=1,Equipment=1,SectorAntenna=2-1,AntennaBranch=B                                                                                                                                      
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Oct  7 2016  2:33PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER01,MeContext=USA300,ManagedElement=1,Equipment=1,Subrack=1,UplinkBaseBandPool=1                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           
	 ;UplinkBaseBandPool_UlHwLessThanUlCapacity                                                                                                                                                                                                                      ;
;            Oct 12 2016  9:12PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=SAER02,MeContext=USA663,ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=2                                                                                                                                                 
	 ;NULL                                                                                                                                                                                                                                                           
	 ;NULL                                                                                                                                                                                                                                                           ;
