;Event_time                     ;Object_of_reference                                                                                                                                                                                                                                            
	 ;Problem_text                                                                                                                                                                                                                                                   
	 ;SP_text                                                                                                                                                                                                                                                        ;
;-------------------------------;---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;
;            Aug 23 2016  7:23AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=LSER01,MeContext=UZS072,ManagedElement=1,SystemFunctions=1,Licensing=1                                                                                                                                                      
	 ;Emergency Unlock has been activated and the alarm will remain till a new Emergency reset key is installed                                                                                                                                                      
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Sep  7 2016 11:00PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=LSR04,MeContext=UZZ429,ManagedElement=1,Equipment=1,SectorAntenna=1-1,AuxPlugInUnit=RRUW-2,RruDeviceGroup=1                                                                                                                 
	 ;UZZ429                                                                                                                                                                                                                                                         
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Sep  3 2016 12:36PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=PMR03,MeContext=UFS779,ManagedElement=1,Equipment=1,SectorAntenna=1,AntennaBranch=A                                                                                                                                         
	 ;Antenna feeder current too high in branch A                                                                                                                                                                                                                    
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Aug  5 2016  7:38PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=PMR03,MeContext=UZL336,ManagedElement=1,Equipment=1,SectorAntenna=1-3,AuxPlugInUnit=2                                                                                                                                       
	 ;ARETU                                                                                                                                                                                                                                                          
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Jul 27 2016  1:41PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=CHR03,MeContext=UZU148,ManagedElement=1,Equipment=1,SectorAntenna=1-1,AuxPlugInUnit=2                                                                                                                                       
	 ;ARETU                                                                                                                                                                                                                                                          
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Sep  7 2016  5:28AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=PMR03,MeContext=UZL260,ManagedElement=1,Equipment=1,SectorAntenna=1-3,AuxPlugInUnit=2                                                                                                                                       
	 ;ARETU                                                                                                                                                                                                                                                          
	 ;NULL                                                                                                                                                                                                                                                           ;
