;Event_time                     ;Object_of_reference                                                                                                                                                                                                                                            
	 ;Problem_text                                                                                                                                                                                                                                                   
	 ;SP_text                                                                                                                                                                                                                                                        ;
;-------------------------------;---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	 ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;
;            Oct 26 2016  2:32PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=LTE_Region_VIII,MeContext=MBI936,ManagedElement=1,Equipment=1,AuxPlugInUnit=RRU-4,DeviceGroup=ru,RfPort=A                                                                                                                   
	 ;ReturnLoss 0.3 dB, VSWR 57.9, Sensitivity 100%                                                                                                                                                                                                                 
	 ;VSWR Over Threshold                                                                                                                                                                                                                                            ;
;            Oct 21 2016 11:14AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=LSER01,MeContext=LSER01,ManagedElement=1,RncFunction=1,UtranCell=U23374                                                                                                                                                     
	 ;A Radio NW Service Impact                                                                                                                                                                                                                                      
	 ;NULL                                                                                                                                                                                                                                                           ;
;            Sep 27 2016 10:27AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=LTE_Region_VI,MeContext=MOH802,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=M28021                                                                                                                                       
	 ;InconsistentConfiguration                                                                                                                                                                                                                                      
	 ;Service Unavailable                                                                                                                                                                                                                                            ;
;            Sep 27 2016 10:28AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=LTE_Region_VI,MeContext=MOH802,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=M28023                                                                                                                                       
	 ;InconsistentConfiguration                                                                                                                                                                                                                                      
	 ;Service Unavailable                                                                                                                                                                                                                                            ;
;            Sep 27 2016 10:28AM;SubNetwork=ONRM_ROOT_MO,SubNetwork=LTE_Region_VI,MeContext=MOH802,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=M28022                                                                                                                                       
	 ;InconsistentConfiguration                                                                                                                                                                                                                                      
	 ;Service Unavailable                                                                                                                                                                                                                                            ;
;            Oct 24 2016  4:33PM;SubNetwork=ONRM_ROOT_MO,SubNetwork=LTE_Region_VIII,MeContext=LFS571,ManagedElement=1,ENodeBFunction=1                                                                                                                                                          
	 ;X2 link problem to one or several neighbouring eNodeBs.                                                                                                                                                                                                        
